date,sb_us_4f,asrs_us_factors,asrs_eafe_factors,sb_us_6f,sb_eafe_4f,sb_eafe_6f,eafe_total_return,spx_total_return,msci_usa_lc_total_return,msci_usa_imi_total_return
7/31/2002,-0.083972,,,-0.077897,-0.070779,-0.068325,-0.098643757,-0.077954963,-0.065273685,-0.077860436
8/30/2002,0.012323,,,0.0109,0.00165,0.004048,-0.002033098,0.00657235,0.00690213,0.005973787
9/30/2002,-0.082367,,,-0.075822,-0.06862,-0.054485,-0.10714536,-0.108685989,-0.110332234,-0.103218746
10/31/2002,0.039264,,,0.034275,0.013793,0.006839,0.053823034,0.088019329,0.091166373,0.078684545
11/29/2002,0.046639,,,0.035356,0.026057,0.021203,0.045513685,0.058858394,0.054570649,0.060101698
12/31/2002,-0.027293,,,-0.017693,0.009289,0.020432,-0.033550264,-0.058743628,-0.060355656,-0.05564771
1/31/2003,-0.018508,,,-0.029358,-0.028007,-0.031685,-0.041671591,-0.026197688,-0.027105111,-0.02499777
2/28/2003,-0.015498,,,-0.014582,-0.005697,-0.00889,-0.022859365,-0.015006432,-0.015358149,-0.016376709
3/31/2003,0.005747,,,0.009377,0.001506,0.006781,-0.018898503,0.009713072,0.008928639,0.010019804
4/30/2003,0.060371,,,0.05262,0.082834,0.075374,0.099157734,0.082368641,0.083003175,0.08182542
5/30/2003,0.074855,,,0.07039,0.068822,0.065169,0.061520361,0.052682536,0.046486153,0.060837962
6/30/2003,0.003897,,,0.004994,0.022214,0.019195,0.024749721,0.012761188,0.015246373,0.013407642
7/31/2003,0.019601,,,0.020633,0.014823,0.017098,0.024356331,0.017630616,0.015719419,0.021856846
8/29/2003,0.028291,,,0.027885,0.023765,0.02752,0.02432302,0.019500394,0.014087443,0.023116679
9/30/2003,-0.003265,,,-0.006002,0.052779,0.050932,0.031025351,-0.010620256,-0.010046016,-0.011348525
10/31/2003,0.061869,,,0.062302,0.058397,0.053392,0.062392626,0.0565743,0.051960188,0.059678825
11/28/2003,0.020359,,,0.021211,0.024405,0.026533,0.022375171,0.008798786,0.00741915,0.01444418
12/31/2003,0.037285,,,0.038394,0.069201,0.070062,0.07816988,0.052442496,0.053804947,0.046589566
1/30/2004,0.024662,,,0.01375,0.019828,0.018217,0.014214863,0.018355577,0.018465306,0.021782622
2/27/2004,0.024776,,,0.03245,0.032176,0.031707,0.023254655,0.013898217,0.011911934,0.014503937
3/31/2004,0.003199,,,0.006865,0.029718,0.033238,0.006018588,-0.015086233,-0.018559666,-0.011515513
4/30/2004,-0.032376,,,-0.021052,-0.023838,-0.02178,-0.021772782,-0.015699034,-0.012698538,-0.021002775
5/31/2004,0.023861,,,0.018063,0.008867,0.008154,0.004330665,0.013721061,0.011081543,0.01458635
6/30/2004,0.022352,,,0.028937,0.03306,0.034717,0.022316897,0.019449842,0.016773737,0.021119651
7/30/2004,-0.026799,,,-0.027297,-0.024748,-0.021617,-0.032315458,-0.033100433,-0.032080093,-0.036669661
8/31/2004,0.007836,,,0.005413,0.013112,0.010869,0.004642758,0.004047411,0.005386188,0.003679127
9/30/2004,0.032219,,,0.028787,0.030279,0.030182,0.026282517,0.01082935,0.006143322,0.015796592
10/29/2004,0.019629,,,0.022042,0.035948,0.032998,0.034160363,0.015277879,0.011643874,0.015669547
11/30/2004,0.058377,,,0.060611,0.074869,0.075977,0.068590014,0.040462739,0.03619352,0.045784177
12/31/2004,0.032223,,,0.037527,0.050296,0.049572,0.043916696,0.034028029,0.034384977,0.03597296
1/31/2005,-0.018947,,,-0.013083,-0.002503,-0.004062,-0.018272837,-0.024378317,-0.023478417,-0.025545709
2/28/2005,0.031831,,,0.035121,0.045628,0.047295,0.043437319,0.021045976,0.018843532,0.021995495
3/31/2005,-0.007076,,,-0.003649,-0.017698,-0.018191,-0.024735258,-0.017705829,-0.018344655,-0.017135969
4/29/2005,-0.020425,,,-0.023726,-0.020016,-0.020257,-0.02238339,-0.018967681,-0.014624275,-0.022066647
5/31/2005,0.03743,,,0.037524,0.004503,0.004244,0.001529783,0.031820734,0.029990809,0.037517067
6/30/2005,0.029646,,,0.024283,0.021518,0.018846,0.01366916,0.001419387,-0.001653534,0.007694979
7/29/2005,0.043257,,,0.040597,0.031443,0.034572,0.030719114,0.037187883,0.034204877,0.040866964
8/31/2005,-0.005039,,,-0.004405,0.029273,0.02778,0.025557412,-0.009122974,-0.008939642,-0.009130406
9/30/2005,0.015983,,,0.013256,0.040031,0.039351,0.044740228,0.008094937,0.006885532,0.00826032
10/31/2005,-0.026457,,,-0.032185,-0.030784,-0.029786,-0.02913636,-0.016670902,-0.01277101,-0.018146038
11/30/2005,0.036483,,,0.034822,0.023725,0.02132,0.024727137,0.037822381,0.036463241,0.040131385
12/30/2005,0.013364,,,0.013897,0.052429,0.051048,0.046597764,0.00034971,-0.001730454,0.001178978
1/31/2006,0.04683,,,0.041762,0.066575,0.065497,0.061468919,0.026478596,0.021802766,0.034413466
2/28/2006,-0.006546,,,-0.004343,0.009712,0.004981,-0.002048201,0.002714236,0.002332948,-4.65158E-05
3/31/2006,0.022042,,,0.025328,0.038922,0.039741,0.033448773,0.012448603,0.011100848,0.017407506
4/28/2006,0.012711,,,0.010043,0.045055,0.050101,0.048499042,0.013423945,0.01346315,0.011566473
5/31/2006,-0.022407,,,-0.015784,-0.033557,-0.033012,-0.037631783,-0.02877936,-0.027306953,-0.031669208
6/30/2006,0.008608,,,0.011736,-0.00559,-0.005214,0.000366806,0.001353019,0.00190632,0.001768831
7/31/2006,-0.003961,,,-0.003419,0.008015,0.013031,0.010013622,0.00617319,0.011701502,-0.000442653
8/31/2006,0.016164,,,0.019087,0.029705,0.026004,0.027768525,0.023792927,0.024425825,0.023556876
9/29/2006,0.01704,,,0.021736,0.012372,0.0156,0.00174011,0.025768241,0.026467251,0.022725884
10/31/2006,0.036506,,,0.039133,0.035986,0.037212,0.038983124,0.032583496,0.032432451,0.035682101
11/30/2006,0.026541,,,0.019789,0.040224,0.039525,0.030162569,0.019020159,0.016323263,0.022231526
12/29/2006,0.005905,,,0.008234,0.03335,0.035278,0.031453921,0.01402669,0.01686211,0.011398679
1/31/2007,0.028829,,,0.030695,0.006798,0.005216,0.006843403,0.015122614,0.014439252,0.01896828
2/28/2007,-0.007233,,,-0.010186,0.014091,0.014805,0.008214553,-0.019561191,-0.023574411,-0.016091198
3/30/2007,0.011907,,,0.013059,0.033076,0.037972,0.02596354,0.011186793,0.012478177,0.011434516
4/30/2007,0.035169,,,0.033807,0.040511,0.045427,0.045350002,0.044293039,0.0442401,0.040847823
5/31/2007,0.030205,,,0.029348,0.018838,0.019844,0.018849523,0.03489774,0.034650443,0.036904467
6/29/2007,-0.021736,,,-0.018837,-0.010939,-0.005912,0.001542702,-0.016612344,-0.016516,-0.016586
7/31/2007,-0.034627,,,-0.036811,-0.006828,-0.008903,-0.014620304,-0.031006094,-0.027643561,-0.033821971
8/31/2007,0.009357,,,0.008138,-0.014321,-0.009583,-0.015388124,0.014988414,0.017067919,0.014570285
9/28/2007,0.03344,,,0.028604,0.042004,0.043721,0.053690826,0.037400368,0.040664433,0.036555093
10/31/2007,0.020821,,,0.022425,0.043875,0.042041,0.039402669,0.015907148,0.017876444,0.01812785
11/30/2007,-0.028782,,,-0.008011,-0.045919,-0.045679,-0.032624688,-0.041808497,-0.039676238,-0.044393768
12/31/2007,-0.006432,,,-0.009837,-0.02392,-0.021229,-0.022450071,-0.006936969,-0.007250954,-0.005808559
1/31/2008,-0.056111,,,-0.055984,-0.079337,-0.076588,-0.092280385,-0.059981008,-0.058861978,-0.060798374
2/29/2008,-0.020558,,,-0.017525,0.025676,0.023692,0.01463684,-0.032483048,-0.032191762,-0.030552725
3/31/2008,-0.013626,,,-0.010378,-0.005406,-0.002241,-0.010041178,-0.004319469,-0.002953143,-0.005465661
4/30/2008,0.054739,,,0.041195,0.032491,0.029637,0.055562759,0.048701889,0.046818491,0.05088034
5/30/2008,0.031906,,,0.032111,0.016999,0.013806,0.011638563,0.012953569,0.011088502,0.021244626
6/30/2008,-0.071794,,,-0.069228,-0.077884,-0.072327,-0.081583986,-0.08430471,-0.080994456,-0.081768164
7/31/2008,-0.017191,,,-0.008416,-0.034795,-0.028015,-0.032012791,-0.008407705,-0.005690109,-0.008420899
8/29/2008,0.017454,,,0.02555,-0.03225,-0.023912,-0.040261359,0.014465918,0.013682482,0.015909096
9/30/2008,-0.09249,,,-0.076006,-0.128647,-0.113389,-0.144243821,-0.089105616,-0.085325204,-0.09278118
10/31/2008,-0.182206,,,-0.165751,-0.202881,-0.183114,-0.201735377,-0.167950619,-0.161204908,-0.176556783
11/28/2008,-0.07716,,,-0.06146,-0.03588,-0.033759,-0.053582206,-0.071751861,-0.071173921,-0.07830851
12/31/2008,0.02982,,,0.022821,0.065949,0.067683,0.060231883,0.010642146,0.008267089,0.01824704
1/30/2009,-0.061427,,,-0.051852,-0.071429,-0.069705,-0.097976761,-0.084288841,-0.083134133,-0.082557662
2/27/2009,-0.098872,,,-0.094976,-0.091579,-0.092061,-0.102271736,-0.106477967,-0.103034322,-0.103943743
3/31/2009,0.073751,,,0.074592,0.042597,0.040711,0.063874656,0.087597995,0.085962264,0.087153783
4/30/2009,0.079506,,,0.072486,0.09334,0.088509,0.129615869,0.095709137,0.088192369,0.105709993
5/29/2009,0.035478,,,0.026074,0.116565,0.104343,0.12012905,0.055931617,0.057437666,0.053104505
6/30/2009,0.011389,,,0.019966,0.002836,0.007555,-0.00539516,0.001985334,0.003671773,0.003391536
7/31/2009,0.071213,,,0.071263,0.077119,0.079003,0.091425932,0.075633448,0.072983207,0.077914605
8/31/2009,0.032945,,,0.030209,0.051036,0.050625,0.054514627,0.036103479,0.031843131,0.03642431
9/30/2009,0.040565,,,0.031609,0.050888,0.04988,0.03847766,0.037317721,0.034829483,0.041832779
10/30/2009,-0.024311,,,-0.019764,-0.017738,-0.015978,-0.012449579,-0.018576227,-0.015099422,-0.024973593
11/30/2009,0.051445,,,0.049069,0.023613,0.024907,0.020268433,0.059982242,0.061707868,0.0567858
12/31/2009,0.041625,,,0.034242,0.013779,0.016359,0.014532445,0.019315686,0.013619469,0.027856285
1/29/2010,-0.033363,,,-0.029699,-0.032656,-0.025801,-0.04399449,-0.035972789,-0.034699766,-0.034813428
2/26/2010,0.044986,,,0.043728,-0.001404,0.000394,-0.006757051,0.0309755,0.026468718,0.033290301
3/31/2010,0.053725,,,0.051912,0.064394,0.062478,0.063056315,0.060347046,0.058033997,0.062686143
4/30/2010,0.022175,,,0.019471,0.003597,0.008111,-0.017267774,0.015786375,0.012042279,0.021404049
5/31/2010,-0.066458,,,-0.063619,-0.097543,-0.093738,-0.113672001,-0.079850538,-0.081992362,-0.08008148
6/30/2010,-0.03993,,,-0.044775,0.005939,0.007988,-0.009728539,-0.052348645,-0.051694381,-0.056276374
7/30/2010,0.062147,,,0.060857,0.076233,0.072269,0.09492449,0.070060575,0.069828706,0.070106109
8/31/2010,-0.033089,,,-0.03216,-0.017535,-0.018745,-0.030910934,-0.045140024,-0.044629206,-0.046976512
9/30/2010,0.090349,,,0.095421,0.098904,0.100051,0.098215743,0.089241391,0.087679629,0.094682635
10/29/2010,0.04121,,,0.041717,0.028935,0.032089,0.036179135,0.038052332,0.039087577,0.039230345
11/30/2010,0.006169,,,0.007523,-0.038087,-0.035103,-0.047890262,0.000126161,-0.002912869,0.005541994
12/31/2010,0.057481,,,0.051019,0.080665,0.079743,0.081063743,0.066831833,0.066723518,0.068733751
1/31/2011,0.012623,,,0.007066,0.01457,0.014408,0.02372956,0.023700628,0.024551527,0.022192036
2/28/2011,0.039366,,,0.039953,0.0215,0.019701,0.033202708,0.034258917,0.032301354,0.036094648
3/31/2011,0.011297,,,0.015147,0.003415,0.005386,-0.021959191,0.000397579,-0.0013328,0.004438666
4/29/2011,0.03296,,,0.040992,0.055811,0.061211,0.060763435,0.029614546,0.030527821,0.030349135
5/31/2011,0.000569,,,0.007554,-0.015915,-0.010681,-0.028062955,-0.011319478,-0.012080217,-0.011433724
6/30/2011,-0.011671,,,-0.00914,-0.006817,-0.005774,-0.012275663,-0.016669152,-0.016002307,-0.01765633
7/29/2011,-0.030273,,,-0.039572,-0.009633,-0.005806,-0.015728508,-0.020333146,-0.016714371,-0.022257217
8/31/2011,-0.043579,,,-0.037087,-0.066296,-0.065453,-0.090176795,-0.054324068,-0.053430744,-0.059817144
9/30/2011,-0.069768,,,-0.050678,-0.09394,-0.086132,-0.094966815,-0.070296324,-0.067088976,-0.077484318
10/31/2011,0.1037,,,0.092884,0.076556,0.075326,0.096472844,0.109292051,0.104831123,0.115471481
11/30/2011,-0.004162,,,0.002048,-0.044086,-0.037243,-0.048250358,-0.002208413,-0.002054885,-0.002791125
12/30/2011,0.008013,,,0.008065,-0.008925,-0.005203,-0.009353,0.01022891,0.012390067,0.008175672
1/31/2012,0.036038,,,0.031097,0.047294,0.04117,0.053530788,0.044813659,0.044213383,0.050492723
2/29/2012,0.035413,,,0.0367,0.050435,0.047686,0.057686673,0.043241758,0.044104071,0.043082104
3/30/2012,0.025526,,,0.030599,0.002652,0.008605,-0.004042438,0.032907961,0.034248269,0.030633332
4/30/2012,0.008256,,,0.00661,-0.003823,-0.003954,-0.018419711,-0.00627399,-0.006010548,-0.006360063
5/31/2012,-0.04866,,,-0.042204,-0.096484,-0.093406,-0.113531902,-0.060101349,-0.058833499,-0.062369206
6/29/2012,0.034016,,,0.031667,0.054784,0.054523,0.07049598,0.041202511,0.041618973,0.039294496
7/31/2012,0.010942,,,0.010492,0.010296,0.013646,0.011462897,0.013888713,0.015086601,0.010626509
8/31/2012,0.01394,,,0.014445,0.028986,0.026839,0.026962602,0.022523387,0.021723895,0.025195759
9/28/2012,0.020232,,,0.019585,0.037352,0.029776,0.029934197,0.025842651,0.026403624,0.025635672
10/31/2012,-0.009374,,,-0.00715,0.00683,0.003445,0.008401421,-0.018465112,-0.018886592,-0.017434996
11/30/2012,0.007776,,,0.012395,0.016782,0.01535,0.024261225,0.005799369,0.004889836,0.007535848
12/31/2012,0.007054,,,0.002005,0.025474,0.022508,0.032118038,0.009114279,0.005976522,0.012000636
1/31/2013,0.060906,,,0.060405,0.043499,0.043303,0.052924482,0.05179601,0.049890223,0.054764066
2/28/2013,0.01644,,,0.021082,0.002449,0.006333,-0.009234708,0.013575485,0.012505972,0.012740895
3/29/2013,0.045311,,,0.046157,0.017887,0.025171,0.008755849,0.037502996,0.036814601,0.038813117
4/30/2013,0.02446,,,0.023544,0.038977,0.041451,0.05330435,0.0192668,0.02061368,0.017028027
5/31/2013,0.003375,,,0.005782,-0.027092,-0.029659,-0.023056036,0.023390073,0.020831486,0.023138763
6/28/2013,-0.006195,,,-0.004404,-0.034877,-0.02701,-0.035293858,-0.013428115,-0.01344691,-0.012631963
7/31/2013,0.052432,,,0.05454,0.056843,0.051672,0.052844852,0.050886461,0.051334194,0.054485284
8/30/2013,-0.030766,,,-0.034117,-0.011184,-0.013701,-0.013119928,-0.028961318,-0.028017674,-0.02804648
